SEQGEN,YEAR,PSTATABB,PNAME,GENNTAN
1,2021,AK,Agrium Kenai Nitrogen Operations,0
2,2021,AK,Agrium Kenai Nitrogen Operations,0
3,2021,AK,Agrium Kenai Nitrogen Operations,0
4,2021,AK,Agrium Kenai Nitrogen Operations,0
5,2021,AK,Agrium Kenai Nitrogen Operations,0
6,2021,AK,Alakanuk,0
7,2021,AK,Allison Creek Hydro,17551
8,2021,AK,Ambler,472
9,2021,AK,Ambler,354
10,2021,AK,Ambler,472
11,2021,AK,Angoon,581
12,2021,AK,Angoon,581
13,2021,AK,Angoon,581
14,2021,AK,Aniak,519
15,2021,AK,Aniak,622
16,2021,AK,Aniak,519
17,2021,AK,Aniak,622
18,2021,AK,Annex Creek,11692
19,2021,AK,Annex Creek,14291
20,2021,AK,Auke Bay,-27
21,2021,AK,Auke Bay,-299
22,2021,AK,Auke Bay,-28
23,2021,AK,Aurora Energy LLC Chena,34327
24,2021,AK,Aurora Energy LLC Chena,3877
25,2021,AK,Aurora Energy LLC Chena,138911
26,2021,AK,Barrow,0
27,2021,AK,Barrow,13132
28,2021,AK,Barrow,13679
29,2021,AK,Barrow,6840
30,2021,AK,Barrow,6840
31,2021,AK,Barrow,6840
32,2021,AK,Barrow,0
33,2021,AK,Battery Energy Storage System,-3433
34,2021,AK,Beaver Falls,8924
35,2021,AK,Beaver Falls,19634
36,2021,AK,Beaver Falls,19634
37,2021,AK,Beluga,105
38,2021,AK,Beluga,105
39,2021,AK,Beluga,388
40,2021,AK,Beluga,448
41,2021,AK,Beluga,502
42,2021,AK,Beluga,502
43,2021,AK,Bernice Lake,212
44,2021,AK,Bernice Lake,295
45,2021,AK,Bernice Lake,278
46,2021,AK,Bethel,7182
47,2021,AK,Bethel,7182
48,2021,AK,Bethel,7182
49,2021,AK,Bethel,7182
50,2021,AK,Bethel,7182
51,2021,AK,Bethel,7182
52,2021,AK,Black Bear Lake,22727
53,2021,AK,Blue Lake Hydro,25946
54,2021,AK,Blue Lake Hydro,25946
55,2021,AK,Blue Lake Hydro,25946
56,2021,AK,Bradley Lake,195509
57,2021,AK,Bradley Lake,195509
58,2021,AK,Brevig Mission,252
59,2021,AK,Brevig Mission,504
60,2021,AK,Brevig Mission,504
61,2021,AK,Centennial,760
62,2021,AK,Chester Lake,3601
63,2021,AK,Chevak,711
64,2021,AK,Chevak,711
65,2021,AK,Chevak,1138
66,2021,AK,Cooper Lake,18191
67,2021,AK,Cooper Lake,18191
68,2021,AK,Craig (AK),42
69,2021,AK,Craig (AK),127
70,2021,AK,Craig (AK),77
71,2021,AK,Craig (AK),77
72,2021,AK,Delta Power,-121
73,2021,AK,Delta Wind Farm,1731
74,2021,AK,Delta Wind Farm,1731
75,2021,AK,Delta Wind Farm,192
76,2021,AK,Dillingham,1855
77,2021,AK,Dillingham,1687
78,2021,AK,Dillingham,1687
79,2021,AK,Dillingham,1687
80,2021,AK,Dillingham,1687
81,2021,AK,Dillingham,1687
82,2021,AK,Dillingham,843
83,2021,AK,Dillingham,3711
84,2021,AK,Dillingham,3711
85,2021,AK,Dutch Harbor,10840
86,2021,AK,Dutch Harbor,10840
87,2021,AK,Dutch Harbor,9172
88,2021,AK,Dutch Harbor,9172
89,2021,AK,Dutch Harbor,625
90,2021,AK,Dutch Harbor,2502
91,2021,AK,Dutch Harbor,2502
92,2021,AK,Eielson AFB Central Heat & Power Plant,73
93,2021,AK,Eielson AFB Central Heat & Power Plant,73
94,2021,AK,Eielson AFB Central Heat & Power Plant,73
